community_id,num_restaurants,top_5_tags,example_restaurants
2,74,"Coffee & Tea, Desserts, Cafes, Bakeries, Ice Cream & Frozen Yogurt","A La Mousse, Ants Pants Café, Bassetts Ice Cream, Beiler's Bakery, Bibou"
0,57,"ambience:trendy, ambience:romantic, Seafood, Italian, ambience:intimate","Alma de Cuba, Amada, Audrey Claire, Bar Ferdinand, Barcelona Wine Bar Passyunk"
10,44,"Pubs, Gastropubs, Event Planning & Services, Venues & Event Spaces, Cocktail Bars","2nd Story Brewing, Alla Spina, Bainbridge Street Barrel House, Bar Hygge, Butcher Bar"
1,42,"Beer, Wine & Spirits, ambience:trendy, ambience:hipster, Pubs","Abe Fisher, BRÜ Craft & Wurst, Bar-Ly Chinatown, Blue Corn, City Tap House"
5,39,"Sandwiches, Cheesesteaks, Burgers, Salad, Delis","Baby Blues BBQ Philly, Bobby's Burger Palace, Campo's Philly Cheesesteaks, Carmen's Famous Italian Hoagies, Chickie's and Pete's"
3,35,"Chinese, Asian Fusion, Dim Sum, ambience:trendy, Thai","Banana Leaf, Bing Bing Dim Sum, Buddakan, Chifa, Chima Steakhouse"
4,33,"Vegetarian, Vegan, Specialty Food, Ethnic Food, ambience:trendy","&pizza - Walnut, Aksum Cafe, Almaz Cafe, Bar Bombón, Blackbird Pizzeria"
8,32,"Japanese, Sushi Bars, ambience:trendy, Asian Fusion, Korean","1225Raw Sushi and Sake Lounge, Aki Nom Nom Sushi & Ramen, Bleu Sushi, Bonchon Philadelphia, Bubblefish"
9,30,"Italian, Pizza, Wine Bars, Sandwiches, Salad","Amis Trattoria, Angelo's Pizzeria, Barbuzzo, Barra Rossa Ristorante, Chickie's & Pete's"
7,17,"Mexican, Tacos, ambience:hipster, ambience:trendy, Tex-Mex","Barcade, Buena Onda, Cantina Dos Segundos, Cantina Los Caballitos, Distrito"
6,2,"Comfort Food, Diners","Honey's Sit N Eat, Penrose Diner"
